Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
First frame system timestamp:  2017-11-30_11-25-42
frame,cam_timestamp,sys_timestamp,green_x,green_y,red_x,red_y
1,4114722225798,777165666248816,183,463,0,0
2,4114752241293,777165826845821,77,452,0,0
3,4114782256842,777165843489010,53,447,0,0
4,4114812271149,777165858187998,77,452,0,0
5,4114842282324,777165874890214,199,443,0,0
6,4114872289692,777165890572994,177,467,0,0
7,4114902295872,777165906262618,137,489,0,0
8,4114932311421,777165921199427,157,479,0,0
9,4114962326916,777165952605479,137,489,0,0
10,4114992341223,777165983908590,177,467,0,0
11,4115022352722,777165998869637,153,481,0,0
12,4115052363843,777166014302905,77,452,0,0
13,4115082374397,777166029981407,177,467,0,0
14,4115112381522,777166056405196,199,443,0,0
15,4115142393021,777166086379475,175,469,0,0
16,4115172407274,777166116385691,135,491,0,0
17,4115202422823,777166146431830,181,465,0,0
18,4115232438372,777166176457152,175,469,0,0
19,4115262452625,777166206469927,174,470,0,0
20,4115292460047,777166236537452,135,491,0,0
21,4115322467199,777166266512586,167,475,0,0
22,4115352481722,777166296568135,77,452,0,0
23,4115382494463,777166327050564,129,439,0,0
24,4115412501723,777166356562888,149,483,0,0
25,4115442516030,777166389222490,77,452,0,0
26,4115472535413,777166416594712,183,463,0,0
27,4115502550962,777166446631440,183,463,0,0
28,4115532569319,777166483932543,135,491,0,0
29,4115562584841,777166515315497,199,443,0,0
30,4115592592290,777166545696980,167,475,0,0
31,4115622600333,777166566673700,199,443,0,0
32,4115652609969,777166596674784,199,443,0,0
33,4115682625140,777166626639082,76,449,0,0
34,4115712641337,777166656645013,77,452,0,0
35,4115742655023,777166687101493,135,491,0,0
36,4115772666441,777166716770083,159,479,0,0
37,4115802674187,777166749991445,182,464,0,0
38,4115832680043,777166780431100,127,499,0,0
39,4115862695538,777166806779037,131,495,0,0
40,4115892707982,777166836784398,130,496,0,0
41,4115922722613,777166866759247,129,497,0,0
42,4115952738162,777166896866694,130,496,0,0
43,4115982753657,777166926782516,130,496,0,0
44,4116012767964,777166956840916,131,495,0,0
45,4116042779166,777166986831164,185,461,0,0
46,4116072786534,777167016717899,130,496,0,0
47,4116102792714,777167046768885,131,495,0,0
48,4116132808290,777167076913403,130,496,0,0
49,4116162823758,777167108733503,130,496,0,0
50,4116192838065,777167139132381,173,471,0,0
51,4116222849564,777167166967982,173,471,0,0
52,4116252860739,777167201765692,130,496,0,0
53,4116282871239,777167234245360,130,496,0,0
54,4116312878391,777167264844133,130,496,0,0
55,4116342889998,777167295674453,130,496,0,0
56,4116372904224,777167328098516,130,496,0,0
57,4116402919476,777167358481139,130,496,0,0
58,4116432930975,777167376887454,133,493,0,0
59,4116462941232,777167406951842,133,493,0,0
60,4116492948573,777167436978305,133,493,311,192
61,4116522960099,777167468693752,184,462,0,0
62,4116552974406,777167499296802,145,485,0,0
63,4116582989712,777167530701999,145,485,0,0
64,4116613005261,777167562054442,145,485,0,0
65,4116643019568,777167587050164,145,485,0,0
66,4116673026963,777167617077768,133,493,0,0
67,4116703034385,777167647089117,130,496,0,0
68,4116733042428,777167677074517,130,496,0,0
69,4116763052064,777167707135483,130,496,0,0
70,4116793067262,777167737077825,130,496,0,0
71,4116823083432,777167767169873,130,496,0,0
72,4116853097118,777167797043777,130,496,0,0
73,4116883108536,777167827166052,130,496,0,0
74,4116913116309,777167858242178,131,495,0,0
75,4116943126242,777167889753738,130,496,0,0
76,4116973137660,777167921156368,130,496,0,0
77,4117003149483,777167952545311,129,497,0,0
78,4117033163466,777167982966716,129,497,0,0
79,4117063178691,777168007184530,130,496,0,0
80,4117093190460,777168037307091,133,493,0,0
81,4117123200393,777168067185842,133,493,0,0
82,4117153211892,777168097151566,133,493,0,0
83,4117183224255,777168127275838,132,494,0,0
84,4117213230759,777168157282339,131,495,0,0
85,4117243242258,777168187294544,130,496,0,0
86,4117273257807,777168218725690,130,496,0,0
87,4117303272060,777168248590183,131,495,0,0
88,4117333283559,777168281023941,129,497,0,0
89,4117363294734,777168312059004,133,493,0,0
90,4117393305234,777168342490960,175,469,0,0
91,4117423312359,777168374875386,145,485,0,0
92,4117453323966,777168397393094,133,493,0,0
93,4117483338219,777168427350264,127,499,0,0
94,4117513353471,777168457571203,127,499,0,0
95,4117543364970,777168487389216,127,499,0,0
96,4117573375200,777168517397143,127,499,0,0
97,4117603382568,777168547397942,127,499,0,0
98,4117633394067,777168577412713,127,499,0,0
99,4117663408401,777168607636789,135,491,311,192
100,4117693423707,777168638975830,135,491,0,0
101,4117723439256,777168671499697,127,499,311,192
102,4117753453590,777168701901426,127,499,0,0
103,4117783460958,777168734354860,27,487,0,0
104,4117813468380,777168765725268,127,499,0,0
105,4117843476423,777168796118442,127,499,311,192
106,4117873486059,777168817455315,127,499,0,0
107,4117903501257,777168847552212,127,499,0,0
108,4117933517427,777168877533049,127,499,0,0
109,4117963531113,777168907571488,127,499,0,0
110,4117993542531,777168937548619,145,485,0,0
111,4118023550277,777168968858858,127,499,0,0
112,4118053560210,777168999240341,127,499,0,0
113,4118083571736,777169029656613,135,491,0,0
114,4118113583478,777169057581469,167,475,0,0
115,4118143597461,777169087732545,53,447,0,0
116,4118173612713,777169117657777,57,440,0,0
117,4118203624455,777169147671693,129,439,0,0
118,4118233634388,777169177635991,153,481,0,0
119,4118263645887,777169207645059,199,443,0,0
120,4118293658250,777169237688346,53,447,0,0
121,4118323664754,777169267715093,153,481,0,0
122,4118353676253,777169297714751,77,452,0,0
123,4118383691802,777169327696444,135,491,0,0
124,4118413706055,777169359584982,127,499,0,0
125,4118443717554,777169389017177,127,499,0,0
126,4118473728756,777169417723363,127,499,310,191
127,4118503739229,777169447780623,127,499,0,0
128,4118533746354,777169477785698,127,499,0,0
129,4118563757988,777169507795337,127,499,0,0
130,4118593772295,777169537805545,145,485,0,0
131,4118623787466,777169567783246,133,493,0,0
132,4118653798965,777169597783474,129,497,0,0
133,4118683809222,777169627837597,130,496,0,0
134,4118713816590,777169657818149,151,483,0,0
135,4118743828089,777169687838623,167,476,0,0
136,4118773842396,777169718080094,169,475,0,0
137,4118803857702,777169749400599,161,479,0,0
138,4118833873251,777169780899898,498,488,0,0
139,4118863887585,777169811303623,151,483,0,0
140,4118893895007,777169837945557,151,483,0,0
141,4118923902375,777169867905863,179,467,0,0
142,4118953910445,777169897940596,161,479,0,0
143,4118983920054,777169927955937,143,487,0,0
144,4119013935252,777169957958732,143,487,0,0
145,4119043951422,777169987897936,169,475,0,0
146,4119073965108,777170017975727,161,479,0,0
147,4119103976526,777170047987076,165,477,0,0
148,4119133984272,777170078352590,139,489,0,0
149,4119163994205,777170108761163,139,489,0,0
150,4119194005704,777170140082809,131,495,0,0
151,4119224017446,777170168004528,131,495,0,0
152,4119254031456,777170201662180,130,496,0,0
153,4119284046708,777170233116423,130,496,0,0
154,4119314058423,777170258047130,129,497,0,0
155,4119344068383,777170288061901,129,497,0,0
156,4119374079882,777170318072965,133,493,0,0
157,4119404092245,777170348084600,129,497,0,0
158,4119434098749,777170378172656,130,496,0,0
159,4119464110248,777170408053404,130,496,0,0
160,4119494125797,777170438109523,130,496,0,0
161,4119524140023,777170468128286,130,496,0,0
162,4119554151522,777170498635523,139,489,0,0
163,4119584162697,777170528204594,151,483,0,0
164,4119614173197,777170560843665,189,457,0,0
165,4119644180349,777170592347526,131,495,0,0
166,4119674191848,777170623685426,130,496,0,0
167,4119704206155,777170648230030,130,496,0,0
