Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-29 20:6:10
frame,cam_timestamp,sys_timestamp, green_x,green_y,red_x,red_y
1,1249300363383,721993821821354,182,488,311.5,190
2,1249400332179,721993999240056,181,489,293,189
3,1249500303243,721994021670506,47,461,0,0
4,1249600268961,721994121621744,177,493,425,285
5,1249700233518,721994221601213,69,452,311.667,193.167
6,1249800201612,721994321479451,179,491,0,0
7,1249900167762,721994421518518,177,493,425,285
8,1250000137827,721994521485154,179,491,313,192
9,1250100109215,721994621429834,181,489,0,0
10,1250200076202,721994721371377,183,487,315,192
11,1250300041920,721994821406451,35,479,0,0
12,1250400013632,721994921356834,39,473,0,0
13,1250499984372,721995021424131,185,485,425,285
14,1250599954491,721995121336587,183,487,0,0
15,1250699923233,721995221311779,35,479,294,187
16,1250799890220,721995321279271,184,486,313,188
17,1250899862958,721995421221384,182,488,0,0
18,1250999832834,721995521317482,69,452,295,186
19,1251099803898,721995621197431,182,488,0,0
20,1251199772802,721995721142966,181,489,425,285
21,1251299741463,721995821127567,179,491,0,0
22,1251399708774,721995921062837,39,473,313,188
23,1251499678677,721996021029188,181,489,0,0
24,1251599643207,721996121051145,182,488,310,188
25,1251699610680,721996221067684,181,489,0,0
26,1251799577910,721996320967879,139,418,313,190
27,1251899547759,721996420951055,183,487,0,0
28,1251999519498,721996520921399,47,461,0,0
29,1252099486296,721996620860375,185,485,0,0
30,1252199455038,721996720793078,169,499,0,0
31,1252299426588,721996820800492,169,499,0,0
32,1252399400406,721996920769695,169,499,313,192
33,1252499369040,721997020715515,35,479,0,0
34,1252599339213,721997120715801,31,485,295,190
35,1252699310385,721997220687570,171,497,294,190
36,1252799279019,721997320694984,169,499,315,192
37,1252899243711,721997420593468,169,499,0,0
38,1252999214910,721997520592613,187,483,0,0
39,1253099183679,721997620527027,169,499,0,0
40,1253199152448,721997720528167,185,485,315,190
41,1253299123755,721997820421519,181,489,0,0
42,1253399093658,721997920457163,181,489,0,0
43,1253499058566,721998020427222,181,489,313,188
44,1253599027119,721998120435206,43,467,295,186
45,1253698997022,721998220341675,179,491,0,0
46,1253798967249,721998320268104,179,491,0,0
47,1253898934749,721998420226186,179,491,0,0
48,1253998900278,721998520266678,47,461,314,189
49,1254098865213,721998620072201,35,479,310,188
50,1254198833442,721998720202518,181,489,0,0
51,1254298798404,721998820165448,181,489,0,0
52,1254398767389,721998920156893,181,489,0,0
53,1254498741207,721999019998916,53,438,0,0
54,1254598708653,721999120110127,181,489,311,190
55,1254698678988,721999219997775,31,485,0,0
56,1254798646434,721999319994924,181,489,0,0
57,1254898613583,721999419946447,69,452,0,0
58,1254998583621,721999520052525,181,489,0,0
59,1255098552660,721999619927627,122,452,0,0
60,1255198523886,721999719856337,181,489,0,0
61,1255298493924,721999819793318,69,452,0,0
62,1255398458886,721999919765372,181,489,294,189
63,1255498427331,722000019799021,181,489,0,0
64,1255598393616,722000119714044,169,499,312,190
65,1255698363600,722000219706060,27,491,295,188
66,1255798336122,722000319687524,171,497,0,0
67,1255898302407,722000419717751,171,497,0,0
68,1255998271473,722000519643325,172,496,0,0
69,1256098244643,722000619680681,173,495,312,188
70,1256198215302,722000719494758,171,497,313,188
71,1256298184503,722000819546942,170,498.25,313,188
72,1256398157322,722000919477364,171,497,313,188
73,1256498124525,722001019404364,169,499,315,190
74,1256598089325,722001119436586,169,499,310,188
75,1256698059768,722001219347332,169,499,326,202
76,1256798027052,722001319313969,181,489,0,0
77,1256897997063,722001419278039,181,489,0,0
78,1256997966156,722001519253230,182,488,0,0
79,1257097937490,722001619241539,181,489,313,190
80,1257197907528,722001719204754,39,473,326,204
81,1257297872571,722001819234980,169,499,0,0
82,1257397841097,722001919155136,171,497,0,0
83,1257497805762,722002019133750,173,495,0,0
84,1257597770697,722002119050769,199,473,425,285
85,1257697746486,722002219020257,122,452,425,285
86,1257797712312,722002318999726,169,499,425,285
87,1257897681162,722002419063031,172,496,315,192
88,1257997653090,722002518921593,177,491,0,0
89,1258097626935,722002618925870,177,491,0,0
90,1258197599889,722002718876538,177,491,312.5,190
91,1258297570251,722002818934995,175,493,425,285
92,1258397537535,722002918798975,169,497,0,0
93,1258497506439,722003018759909,167,497,315,190
94,1258597471320,722003118724264,167,497,0,0
95,1258697442681,722003218711432,179,487,0,0
96,1258797411693,722003318789280,175,491,311,188
97,1258897380867,722003418673221,175,491,313,188
98,1258997352228,722003518627596,179,487,313,188
99,1259097322374,722003618557732,171,495,312,191
100,1259197287498,722003718526650,185,483,315,190
101,1259297256051,722003818559158,181,487,311,188
102,1259397222444,722003918508115,191,479,294,187
103,1259497192563,722004018445666,104,458,0,0
104,1259597165193,722004118424849,173,495,0,0
105,1259697131667,722004218376658,173,495,0,0
106,1259797100868,722004318338447,173,495,315,192
107,1259897074092,722004418329036,173,495,311.5,190
108,1259997044940,722004518290540,175,493,294.5,189
109,1260097014249,722004618244060,191,479,0,0
110,1260196984530,722004718273146,175,493,0,0
111,1260296951949,722004818228376,175,493,411,276
112,1260396922392,722004918156516,69,452,0,0
113,1260496890108,722005018161364,114,456,0,0
114,1260596857446,722005118081520,43,467,315,192
115,1260696827619,722005218048442,39,473,0,0
116,1260796796901,722005318015079,61,457,423,287
117,1260896768316,722005418049012,35,429,295,188
118,1260996738489,722005518020497,57,404,0,0
