Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-29 19:45:48
frame,cam_timestamp,sys_timestamp, green_x,green_y,red_x,red_y
1,26612295930,720771151733754,302.294,209.882,316,175.5
2,26632304658,720771343181610,302.375,210.25,316,175.5
3,26652313629,720771358796238,302.375,210.25,316.333,175.667
4,26672324463,720771373624972,302.429,210.5,316.5,176
5,26692337565,720771389347959,302.385,210.385,316.333,176.333
6,26712348291,720771405061536,302.429,210.5,316.333,176.333
7,26732361069,720771420688426,302.5,210.5,316.333,176.333
8,26752371525,720771436445631,302.5,210.5,316.333,176.333
9,26772380064,720771451526445,302.533,210.6,316.667,176.667
10,26792391276,720771468199575,302.75,210.25,316.667,176.667
11,26812404243,720771482964435,302.75,210.25,316.667,176.667
12,26832417777,720771499675206,302.75,210.25,317,176.5
13,26852428773,720771514382463,302.714,210.643,317,176.5
14,26872437447,720771530081212,302.714,210.643,317,176.5
15,26892448794,720771546312919,302.75,210.625,317,176.5
16,26912457765,720771562087235,303,210.769,317.5,176.5
17,26932468788,720771576937356,303.125,210.813,318,177
18,26952477462,720771593454506,303,211.067,0,0
19,26972487972,720771609267032,303,211.286,0,0
20,26992501074,720771640705307,303.25,211.25,318,178
21,27012513906,720771656386946,303.067,211.2,318,178
22,27032524551,720771671138118,303.467,211.2,318,177.5
23,27052533090,720771685839958,303.571,211.071,318,177.5
24,27072544059,720771702807655,303.769,211,318,177.5
25,27092556837,720771718481595,303.875,211.438,318.333,177.667
26,27112567563,720771749889073,303.765,211.588,318.5,178
27,27132576642,720771780340990,303.75,211.688,318.5,178
28,27152587179,720771796037458,303.556,211.444,319,178
29,27172596285,720771811717386,303.789,211.684,319,178.5
30,27192606984,720771828380251,303.706,211.882,319,178.5
31,27212619762,720771842106854,303.833,211.889,319,178.5
32,27232632594,720771857858927,303.81,212.048,319.333,178.333
33,27252643698,720771873573929,304.158,211.842,319.5,178.5
34,27272652723,720771890221110,304.211,212.053,319.5,178.5
35,27292663395,720771905815777,304.333,212,319.667,178.667
