Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-29 20:6:59
frame,cam_timestamp,sys_timestamp, green_x,green_y,red_x,red_y
1,1300366425042,722044887194739,172,476,0,0
2,1300466390058,722045077904324,193,457,295,188
3,1300566360474,722045107730036,170,478,295,188
4,1300666328217,722045186965473,173,475,295,188
5,1300766298444,722045286948648,91,458,295,188
6,1300866267510,722045386924125,148.833,497.333,0,0
7,1300966235253,722045486883062,148.833,497.333,0,0
8,1301066207073,722045586834015,185,463,0,0
9,1301166177408,722045686821754,167,479,0,0
10,1301266145151,722045786827742,189,459,0,0
11,1301366116701,722045886860535,171,475,326,203
12,1301466083094,722045986726796,151.625,492.438,326,203
13,1301566050864,722046086684308,154,490,313,190
14,1301666025222,722046186629273,161,483,0,0
15,1301765994153,722046286618437,39,473,0,0
16,1301865962895,722046386597335,170,474,294,189
17,1301965933608,722046486551995,171,473,294,189
18,1302065904321,722046586563686,31,485,310,190
19,1302165882891,722046686504089,147,497,310,190
20,1302265850526,722046786465022,157,489,326,204
21,1302365819673,722046886437647,91,458,310,190
22,1302465784797,722046986422249,153,461,313,190
23,1302565756374,722047086440784,157,467,313,190
24,1302665725656,722047186321303,39,473,313,190
25,1302765695046,722047286309897,145,495,0,0
26,1302865666650,722047386370635,156,466,295,188
27,1302965637066,722047486258854,35,479,0,0
28,1303065602406,722047586179010,92,458,0,0
29,1303165571202,722047686234045,43,467,315,186
30,1303265537892,722047786151635,61,446,315,184
31,1303365508254,722047886080060,91,458,296,183
32,1303465481181,722047986173021,47,461,0,0
33,1303565447817,722048086178154,70,449,317,182
34,1303665417234,722048186093748,39,473,315,182
35,1303765390809,722048286035576,47,461,315,182
36,1303865361846,722048385929212,267,465,0,0
37,1303965332667,722048485916950,117,497,0,0
38,1304065303245,722048585870185,35,479,297,184
39,1304165273661,722048685939763,70,449,313,186
40,1304265244374,722048785925505,169,483,0,0
41,1304365210767,722048885863911,166,486,313,190
42,1304465183829,722048985770950,164,480,294,189
43,1304565154569,722049085808876,147,499,315,194
44,1304665123770,722049185692817,157,487,315,196
45,1304765095590,722049285652325,151,499,293,193
46,1304865065979,722049385658313,159,491,313,196
47,1304965031481,722049485577043,157,497,311,196
48,1305065000358,722049585551664,157,493,292.5,195
49,1305164967183,722049685548242,153,493,0,0
50,1305264937680,722049785596719,147,495,311,194
51,1305364909689,722049885603848,149,487,292.5,193
52,1305464877324,722049985572481,137,495,311,192
53,1305564843798,722050085384562,137,493,292,190
54,1305664816401,722050185362035,135,497,313,190
55,1305764787519,722050285362320,135,499,314,189
56,1305864754425,722050385311847,137,499,313,186
57,1305964724895,722050485301867,141,499,0,0
58,1306064692854,722050585245691,155,487,312.5,184
59,1306164662244,722050685275917,157,489,315,184
60,1306264630230,722050785319832,181,447,0,0
61,1306364597919,722050885182101,70,449,316,185
62,1306464568470,722050985174116,167,489,317,186
63,1306564538022,722051084994467,91,458,297,182
64,1306664509815,722051185147026,163,497,0,0
65,1306764480312,722051285060909,165,493,0,0
66,1306864445814,722051385007585,169,487,296,187
67,1306964414826,722051484968233,167,489,294,188
68,1307064380139,722051585016995,47,461,0,0
69,1307164350663,722051684995323,165,491,0,0
70,1307264327289,722051784876127,464,446,294,193
71,1307364297300,722051884818240,179,465,0,0
72,1307464266582,722051984863295,159,499,313,196
73,1307564239050,722052084836490,179,465,0,0
74,1307664210492,722052184825655,43,467,0,0
75,1307764181340,722052284857022,157,499,313,196
76,1307864150811,722052384719291,157,499,311,194
77,1307964118527,722052484623763,165,487,0,0
78,1308064091994,722052584713303,155,499,0,0
79,1308164062626,722052684626615,167,483,0,0
80,1308264034392,722052784597529,39,473,0,0
81,1308364004025,722052884536505,161,491,315,190
82,1308463973388,722052984480900,163,487,326,201
83,1308563941455,722053084529091,155,497,0,0
84,1308663912006,722053184506279,159,493,295,182
85,1308763877319,722053284382521,160,492,296,183
86,1308863845494,722053384476052,163,487,312.5,184
87,1308963813399,722053484461224,161,491,312.5,184
88,1309063784031,722053584427575,169,479,0,0
89,1309163756445,722053684243934,165,485,0,0
90,1309263723891,722053784330622,165,485,0,0
91,1309363693389,722053884328626,165,485,295,186
92,1309463665695,722053984181485,167,483,0,0
93,1309563640188,722054084188329,163,489,0,0
94,1309663609524,722054184097364,157.75,496.375,294,191
95,1309763580426,722054284105348,163,489,315,194
96,1309863552327,722054384164375,167,483,294,193
97,1309963521690,722054484138711,173,471,326,207
98,1310063487084,722054584093371,171,475,0,0
99,1310163459012,722054684025504,177,463,0,0
100,1310263428510,722054784055445,165,485,313,196
101,1310363398143,722054883868953,179,457,0,0
102,1310463370098,722054983919140,179,457,311,194
103,1310563336653,722055083908019,47,461,313,194
104,1310663302074,722055183774566,155.75,496.375,310,192
105,1310763271032,722055283833593,161,489,0,0
106,1310863238019,722055383744909,161,489,0,0
107,1310963208948,722055483678468,47,461,294,187
108,1311063181227,722055583759738,39,473,0,0
109,1311163149051,722055683653374,165,481,315,188
110,1311263115633,722055783616589,161,485,0,0
111,1311363088209,722055883541878,165,477,0,0
112,1311463059786,722055983545585,145,499,294,184
113,1311563030769,722056083601475,159,477,295,184
114,1311663000348,722056183486842,146,488,0,0
115,1311762968199,722056283576952,151,483,0,0
116,1311862941801,722056383470874,480,472,0,0
117,1311962912541,722056483355100,153,499,315,188
118,1312062884415,722056583359947,165,487,0,0
119,1312162854183,722056683330576,47,461,294,189
120,1312262823681,722056783432377,133,485,0,0
121,1312362791829,722056883370498,106,455,313,192
122,1312462762596,722056983365651,21,485,0,0
123,1312562727936,722057083170603,39,473,0,0
124,1312662696273,722057183223357,57,442,310.5,194
125,1312762664340,722057283195412,48,476,294,193
126,1312862635053,722057383096748,48,474,0,0
127,1312962607602,722057483113002,38,478,310.5,194
128,1313062575237,722057582998083,82,445,313,194
129,1313162544816,722057683007493,56,437,0,0
130,1313262517203,722057783091330,57,445,294,191
131,1313362491858,722057882969853,51,455,0,0
132,1313462461302,722057982916813,27,467,315,192
133,1313562432339,722058082898278,37,465,0,0
134,1313662404375,722058182966146,31,465,313,188
135,1313762373819,722058282825563,35,465,315,188
136,1313862339402,722058382805602,23,477,312,186
137,1313962311438,722058482772524,43,467,394,271
138,1314062281017,722058582871474,29,475,294.5,184
139,1314162250650,722058682698098,56,437,294.5,184
140,1314262222848,722058782797618,55,463,295,184
141,1314362193588,722058882644489,70,449,312,186
142,1314462159360,722058982689258,33,477,0,0
143,1314562128723,722059082598293,25,483,0,0
144,1314662099490,722059182548961,43,467,315,190
145,1314762070581,722059282564930,43,467,0,0
146,1314862038891,722059382581469,43,467,294,189
147,1314962005284,722059482548391,47,475,326,206
148,1315061971083,722059582424918,33,479,0,0
