frame,timestamp,framerate
0,264915283999158,3.80069e-06
1,264915504278334,4.53969
2,264915530896473,37.5684
3,264915550423737,51.2105
4,264915577179603,37.375
5,264915597406113,49.4401
6,264915612673047,65.501
7,264915626997762,69.8094
8,264915642389544,64.9697
9,264915673994961,31.6401
10,264915691931709,55.7515
11,264915706160358,70.2807
12,264915721462446,65.3506
13,264915737340201,62.9812
14,264915754240608,59.1702
15,264915791937360,26.5275
16,264915831320289,25.3917
17,264915861503508,33.131
18,264915877377780,62.995
19,264915912098052,28.8016
20,264915939402423,36.6242
21,264915955117287,63.634
22,264915971867034,59.7024
23,264915986947263,66.312
24,264916002948570,62.4949
25,264916018750077,63.2851
26,264916057483116,25.8178
27,264916080938610,42.6339
28,264916103475024,44.3726
29,264916138170213,28.8224
30,264916159333731,47.2511
31,264916175277852,62.719
32,264916190039400,67.7436
33,264916221745932,31.5392
34,264916236697857,66.881
35,264916253266164,60.3562
36,264916267985295,67.9388
37,264916283475897,64.5553
38,264916314949095,31.7731
39,264916331410725,60.7473
40,264916354827312,42.7048
41,264916379026413,41.3238
42,264916393828110,67.5598
43,264916409415615,64.1539
44,264916424486097,66.3549
45,264916457164818,30.601
46,264916493775090,27.3147
47,264916518037884,41.2154
48,264916549284822,32.0031
49,264916568728008,51.4319
50,264916583890371,65.9528
51,264916601212761,57.7288
52,264916639353744,26.2185
53,264916659018600,50.8521
54,264916674872082,63.0776
55,264916691626878,59.6844
56,264916707447933,63.2069
57,264916721742408,69.9571
58,264916759574808,26.4324
59,264916796029209,27.4315
60,264916815596892,51.1047
61,264916831280517,63.7608
62,264916864507203,30.0963
63,264916886784768,44.8882
64,264916908724401,45.5796
65,264916924989120,61.4828
66,264916943062515,55.3299
67,264916964473137,46.7058
68,264916988062092,42.3927
69,264917003320548,65.5374
70,264917033168940,33.5026
71,264917051831745,53.5825
72,264917069866341,55.449
73,264917096455266,37.6096
74,264917112169590,63.6362
75,264917144327454,31.0966
76,264917161626057,57.8081
77,264917176397676,67.6974
78,264917190887307,69.0149
79,264917211199245,49.2321
80,264917244557988,29.9771
81,264917268032193,42.6
82,264917283765957,63.5576
83,264917299896999,61.9923
84,264917315690784,63.316
85,264917331860112,61.8455
86,264917350040724,55.0036
87,264917385943920,27.8527
88,264917408311530,44.7075
89,264917444379966,27.7251
90,264917470884651,37.7292
91,264917486985102,62.1101
92,264917513613258,37.5542
93,264917534241906,48.4763
94,264917549102193,67.2935
95,264917587038435,26.36
96,264917618888526,31.3971
97,264917643865659,40.0366
98,264917664481914,48.5054
99,264917679236712,67.7746
