frame,timestamp,green_x,green_y,red_x,red_y
1,28319843793447,292,189.5,314,216
2,28320030014877,292,189.5,314.667,216.333
3,28320044909400,291.667,190,314.667,216.333
4,28320061801329,292,190,315,216.5
5,28320077063214,291.667,190.667,315,216.5
6,28320093920286,291.5,191,315.333,216.667
7,28320125018022,0,0,315.333,216.667
8,28320156177858,291.25,190.5,315.5,216.5
9,28320186294090,291.8,190.2,315.5,216.5
10,28320203986596,291.5,190.5,316.333,216.667
11,28320233075073,290.286,191.857,316.5,217
12,28320264086247,289.143,195,317,217
13,28320299305776,290,195.5,318,217.5
14,28320327339552,288.286,195.857,318.333,216.667
15,28320343567470,288.6,196.7,318.5,217
16,28320373638234,288,200,318.5,217.5
17,28320389998965,287.667,198.667,318.667,218.333
18,28320405542541,288,200.25,318.333,218.667
19,28320421670829,287.5,200.5,318.333,218.667
20,28320436945728,287,199.286,318,218.5
21,28320452012646,287.5,200,317.667,218.333
22,28320466669407,287.667,200,317.5,218
23,28320483740562,288,199.5,317.5,218
24,28320515750466,288,199.5,317.333,218.333
25,28320532195059,288,199.5,317,218.5
26,28320547051998,288,199.5,317,218.5
27,28320562095048,286.462,200.154,316.667,219.333
28,28320578668971,286.6,200.7,316.5,219.5
29,28320593797746,288,201.5,316.5,220
30,28320611350878,288,201.5,316.667,220.333
31,28320626335608,288,201.5,316.5,221
32,28320655481055,288,201.5,316.5,221.5
33,28320685437204,286.714,203.143,316.333,222.333
34,28320718250466,286.5,202.5,316.333,222.667
35,28320734309148,287,202.5,316.5,223
36,28320765439554,287,203,316.667,223.333
37,28320797396133,287,203.4,317,224.5
38,28320811385346,287.667,204.444,0,0
39,28320828276384,287.5,204.5,317.5,225.5
40,28320842983716,288.545,204.818,317.5,226
41,28320857847756,288.5,205.667,317.667,226.333
42,28320874520175,289.667,206,318.333,226.667
43,28320904359927,289,208,318.5,227
44,28320920251344,289.667,206.444,319,227.5
45,28320935850405,289.5,208.5,319.5,228
46,28320952568508,289,208,319.333,228.667
47,28320967490571,290.5,208.25,319,229
48,28320982887402,291.667,210,320.5,230
49,28320999145209,291,212,320.5,230
50,28321030671192,291.5,210.5,321,230.5
51,28321060760613,291.333,211,321.5,231.5
52,28321092497061,292.333,212.75,322,232.5
53,28321124539500,292.5,213.667,322.5,233
54,28321154995878,293.909,212.364,322.333,234.667
55,28321187568192,294.455,212.364,322.5,235.5
56,28321217955099,295.667,210.833,321,237
57,28321250366844,296.6,210.6,321.667,238.333
58,28321279751781,298.143,210.857,0,0
59,28321312449699,299.7,210.7,322.5,239.5
60,28321343593848,301.667,210.556,323,239
61,28321375124853,303,209,323.333,240.333
62,28321405517511,305.333,208.667,324.5,240
63,28321437898584,308.417,208.083,0,0
64,28321472070864,311,208,327,241
65,28321499655117,313.909,206.636,328.333,240.667
66,28321531497702,318,205.5,330.333,240.333
67,28321562655027,320.417,204.333,332.5,239.5
68,28321593347034,324.692,202.538,335.5,238.5
69,28321623847746,328,201.5,336.5,237.5
70,28321656637329,330.286,199.143,339,235.5
71,28321686378045,334.429,197.143,341.667,234.333
72,28321717784256,340,196,344.667,231.667
73,28321748229537,339.333,194.333,346.5,230.5
74,28321779963960,344.4,190.4,349.667,227.333
75,28321795211778,346.455,188.545,351.333,225.667
76,28321811826660,348.7,186.7,352.75,224
77,28321826959917,350.571,185.857,354,222.5
78,28321846969563,354,183.5,355.25,221
79,28321873395516,355.333,180.667,358,218
80,28321904699154,358,180,359.5,216.5
81,28321935719832,360.429,176.5,361.5,213.5
82,28321968588417,363.667,172.667,364,210.5
83,28322002526877,368,169.5,366.333,207.333
84,28322033281875,370.273,166.182,369,203.5
85,28322062243641,371.667,164.667,370.25,202
86,28322093077776,375.2,162.2,372.333,199.333
87,28322124302304,378.714,159.143,374.667,196.667
88,28322155434492,380,160,375.667,195.333
89,28322170041519,381.5,156.5,377,193.5
90,28322187727545,383.5,156.5,378.333,192.333
91,28322202964860,386,153.5,379.5,190.5
92,28322218673325,386.25,152.333,380.5,189.5
93,28322249487885,0,0,383.333,186.333
94,28322281317213,391.2,148.2,384.333,185.333
95,28322310383226,396,145.5,387,182.5
96,28322342391402,398,142.182,390,178.5
97,28322360540424,399.667,140.333,391.333,177.333
98,28322389302147,404.333,138.333,393.667,173.667
99,28322420225868,405,138,395,172.5
100,28322451907344,408.636,132.364,398.667,168.667
101,28322467918587,410.75,130.667,400.333,166.333
102,28322484061212,412.333,128.5,402,164.5
103,28322499796110,413,127.5,402.667,163.667
104,28322514884898,416,126.5,404.333,161.333
105,28322530406982,416.5,124,405,160
106,28322546043519,418.5,122.1,406.667,157.667
107,28322576698914,419.667,120.556,408.333,156.333
108,28322609480964,422.75,116.667,411,152.5
109,28322639728659,426,114.5,413.333,149.333
110,28322671944519,425,112,414.5,147.5
111,28322703015066,429.667,108.556,417,144
112,28322732761695,434,105.5,419.5,140.5
113,28322764787637,434.4,102.5,421,138.5
114,28322796451833,435,101,422,136.5
115,28322826787224,437.75,100.5,423.333,134.667
116,28322858466459,438.667,98.5,424.5,133.5
117,28322890229448,439.333,98.6667,425.5,132.5
118,28322905101858,439.875,97.25,425.5,132.5
119,28322922902256,439.857,97,426,132.5
120,28322938224540,439.5,96.5,426,132
121,28322952522930,439.667,96.3333,426.5,131.5
122,28322983479429,440.143,96.1429,426.5,131.5
123,28322997990066,442,95.5,427,132
124,28323014353983,440.286,95.8571,427.5,131.5
125,28323031459320,439,96,427.5,131.5
126,28323061175304,440,95,427,131
127,28323093417570,438.4,95.5,427,131.5
128,28323124768350,440,96,427,131.5
129,28323156018933,438,95.5,426.667,131.667
