Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-28 15:24:4
frame,cam_timestamp,green_x,green_y,red_x,red_y
1,95600551146579,282,201.5,310.667,181.667
2,95600716671483,282,201.5,311.333,182.333
3,95600732316795,281.2,202.2,311.333,182.333
4,95600747036979,281.2,202.2,311.333,182.333
5,95600761699653,281.167,202.5,311.5,182.5
6,95600777383062,281,204,311.5,182.5
7,95600793057129,281.75,202.5,311.5,182.5
8,95600808750150,281.25,202.375,311.667,182.667
9,95600824452648,281.25,202.125,311.667,182.667
10,95600840155605,281.143,202,311.667,182.667
11,95600856805344,281.2,202.2,311.5,183
12,95600872471230,281.143,202.429,311,183
13,95600887660107,281.333,202.667,311,183
14,95600919545460,281.333,202.667,311,184
15,95600934236025,281,203,311.5,183.5
16,95600950938171,280.875,203,311.5,183.5
17,95600966627763,279,204,311.5,183.5
18,95600982308742,281.5,204,311.5,184
19,95600997012726,280.714,203.143,311.333,184.333
20,95601012012009,279,204,311.333,184.333
21,95601044067975,280.429,203.857,311.5,184.5
22,95601059777439,282,203.5,311.5,184.5
23,95601075445944,280.286,203.857,311.5,184.5
24,95601090112965,280.375,203.75,312,185
25,95601106797507,280.556,203.889,311.5,185.5
26,95601122480889,280.636,204.273,311,185.5
27,95601138170184,280.6,204.5,310.667,185.667
28,95601168550692,280.455,204.545,310.667,185.667
29,95601184258644,280.3,204.9,310.667,185.667
30,95601200942430,280,205,310.5,186
31,95601215672064,280,206.25,310.5,186
32,95601232302552,279.25,205.5,310.333,186.333
33,95601246977646,280,207,310.333,186.333
34,95601261747240,280,207,310.333,186.333
35,95601294045693,279.6,205.4,310,186.5
36,95601309751863,279,206.333,310,187
37,95601324352167,279,206,309,187
38,95601341118033,279.333,206.167,0,0
39,95601356810676,279.143,206.429,309,188
40,95601372456960,278.417,206.583,309.5,187.5
41,95601387192264,278.5,206.75,310,187
42,95601403902618,278.625,207.25,0,0
43,95601435254883,278.625,207.25,0,0
44,95601450397617,280,207.5,309,188
45,95601466413369,278.333,207.167,308.5,188
46,95601482144838,277,207.5,308.5,188
47,95601497868450,277.667,207.5,308.333,188.333
48,95601512673252,278,210,308.333,188.333
49,95601528284760,278,210,308,188.5
50,95601558688434,277.5,207,308,188.5
51,95601575946780,277,208,307.667,188.667
52,95601590683407,276.75,208.125,307.667,188.667
53,95601606687522,277.2,208.2,307.5,189
54,95601621806145,277.143,208.429,307.5,189
55,95601653251641,276.7,208.5,308,189
56,95601669642045,276.615,208.385,308,189
57,95601684639816,276.615,208.385,307.5,189.5
58,95601700316529,276.5,208.5,307,190
59,95601715008417,276.385,208.615,306.667,189.333
60,95601746522439,276.455,208.818,306.5,189.5
61,95601778005033,276.3,208.9,306.5,189.5
62,95601794431563,276,209,306.333,189.333
63,95601825117387,276,209,306.333,189.333
64,95601855542283,276.25,208.875,306.333,189.333
65,95601886881669,275.385,208.615,306,190
66,95601903484023,275.636,208.636,306,190
67,95601919266360,275.333,208.667,305,189
68,95601934895283,275.091,208.636,305,189
69,95601950621784,275.091,208.636,305.5,189
70,95601965699016,275.333,208.667,305.5,189
71,95601981894021,275.333,208.667,305.667,188.667
72,95601996676629,275.333,208.667,305.667,188.667
73,95602013281116,275.5,208.5,305.667,188.667
74,95602029019200,275.333,208.167,305.5,188.5
75,95602043743596,275.333,208.167,305.5,188.5
76,95602076098398,275.143,208,305.5,188.5
77,95602091775786,275.143,208,305.333,188.333
78,95602105507257,275.143,208,305.333,188.333
79,95602122159912,275.143,208,305.333,188.333
80,95602136859171,275.167,208.5,305.333,188.333
81,95602153514796,275,210,306,188
82,95602169225043,275.167,208.5,306,188
83,95602200758289,275.667,208,0,0
84,95602216110111,275.667,208,306,187
85,95602230944343,275.5,208.5,305.5,187.5
86,95602247438670,275.5,208.5,305.5,187.5
87,95602263484797,275.167,207.167,306,187
88,95602278157164,275,207,305.5,187
89,95602309564077,275.333,206.667,305.667,186.667
90,95602340188827,275.5,206.5,305.5,186.5
91,95602356859140,275.667,206.556,305.5,186.5
92,95602371351444,275.375,205.875,305.5,186.5
93,95602387784130,275,205,305.5,186
94,95602403671362,276,208,305.5,185.5
95,95602434098526,276,207,305.5,185.5
96,95602450751478,276,207,305.5,185.5
97,95602466441232,275.333,206,306,185.5
98,95602481521515,275.778,205.111,306.333,185.333
99,95602497827436,276.222,205.111,306.333,185.333
100,95602513024170,276.455,205,306.5,185
101,95602543907796,276.455,204.545,306.5,185
102,95602574315844,276.727,204.273,306.667,184.667
103,95602590429012,276.75,204,306.667,184.667
104,95602605927822,276.556,203.889,307,184
105,95602621331943,276.286,203.857,307,184
106,95602637113011,278,203.5,307,184
107,95602653629343,277.2,204.2,0,0
108,95602668824700,277.2,204.2,0,0
109,95602683856275,277.667,204,308,183
110,95602716205569,277.5,204.5,308,183
111,95602730875830,277.5,204.5,307.5,183.5
112,95602747534884,278.333,203.333,0,0
113,95602762229040,278.333,203.333,0,0
114,95602778937585,278.25,202.875,0,0
115,95602809329892,278,203,308.5,183
