Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-29 19:52:54
frame,cam_timestamp,sys_timestamp, green_x,green_y,red_x,red_y
1,453058137432,721197591334363,320.455,210.636,300.5,180
2,453158111277,721197764728074,320.455,210.636,300.333,180.667
3,453258083394,721197796949390,320.6,210.7,300.333,180.667
4,453358061262,721197891194921,322,211.5,300.333,180.667
5,453458036241,721197991158421,320.429,211.143,300.5,181
6,453558012408,721198091123347,320.429,211.143,300.333,181.333
7,453657986388,721198191099964,320.429,211.143,300.5,181.5
8,453757960125,721198291073159,322,211.5,300.5,181.5
9,453857932539,721198391066886,322,211.5,300.5,181.5
10,453957907545,721198491042933,322,211.5,300.5,181.5
11,454057877151,721198591031526,322,211.5,300.5,181.5
12,454157849700,721198690984761,322,211.5,300.667,181.333
13,454257822006,721198790951682,322,211.5,300.667,181.333
14,454357796931,721198890913757,320.429,211.143,300.667,181.333
15,454457773719,721198990928014,322,211.5,300.5,181
16,454557745593,721199090869842,322,211.5,301,181
17,454657719384,721199190873549,320.571,211.143,300.667,180.333
18,454757695983,721199290837620,320.444,210.778,300.667,180.333
19,454857674850,721199390861858,320.455,210.636,300.667,180.333
20,454957648506,721199490770323,320.455,210.636,300.5,180
21,455057623755,721199590704451,320.455,210.636,300.5,180
22,455157599976,721199690788002,320.417,210.5,300.5,180
23,455257573659,721199790675936,320.5,210.5,300.5,180
24,455357543400,721199890784866,320.615,210.385,300,180
25,455457519621,721199990592100,320.615,210.385,300,180.5
26,455557493412,721200090645994,320.615,210.385,300,180.5
27,455657467230,721200190579838,320.615,210.385,300,180.5
28,455757443559,721200290508834,320.462,210.615,300,180.5
29,455857418484,721200390528224,320.455,210.636,300,180.5
30,455957388414,721200490535924,320.455,210.636,300,180.5
31,456057361962,721200590459787,320.444,210.778,300,180.5
32,456157336887,721200690401329,322,211.5,300.333,180.667
33,456257312136,721200790463209,319,211.5,300.333,180.667
34,456357284631,721200890368251,319.333,211,300.333,180.667
35,456457255209,721200990302380,319.25,211.5,300.5,181
36,456557225112,721201090324052,319.25,211.5,300.5,181
37,456657198363,721201190324337,319.4,212,300.5,181
38,456757168266,721201290206852,320,214,300.333,180.667
39,456857142273,721201390258181,320.111,211.556,300.333,180.667
40,456957121059,721201490266165,322,212,300.333,180.667
41,457057093500,721201590260177,322,212,300.333,180.667
42,457157068803,721201690198868,322,211.5,300.333,180.667
43,457257041217,721201790197727,320.455,210.636,300.333,180.667
44,457357013361,721201890077106,320.5,210.75,300,180.5
45,457456988340,721201990166930,320.6,210.6,300,180.5
46,457556962347,721202090100204,320.846,210.462,300,180.5
47,457656938514,721202190017793,320.75,210.333,300,180.5
48,457756913493,721202289973879,320.75,210.333,300,180.5
49,457856883450,721202389921695,320.615,210.385,300,180.5
50,457956856809,721202489924547,320.615,210.385,300,180
51,458056828035,721202589858676,320.615,210.385,300,180
52,458156802987,721202689983289,320.5,210.5,300,180
53,458256780423,721202789828449,320.364,210.636,300.5,180
54,458356751676,721202889773129,320.545,210.818,300.5,180
55,458456725656,721202989755449,320.083,210.75,300.5,180
56,458556703713,721203089743187,320,211,300.5,180
57,458656679286,721203189732351,319,211,300.5,180
58,458756653428,721203289745468,319.25,211.5,300.667,180.333
59,458856631134,721203389767425,319,211,300.5,180.5
60,458956603251,721203489796797,320,214,300.5,180.5
61,459056572965,721203589625132,319.25,210.75,300.333,180.667
62,459156548322,721203689572948,319,211.5,300.333,180.667
