frame,timestamp,green_x,green_y,red_x,red_y
1,29149491158820,305.8,188.8,303.5,225.5
2,29149666734015,305.667,188.833,303.5,225.5
3,29149697756367,305.857,189,303.5,225.5
4,29149715181114,305.5,188.5,303.5,225.5
5,29149731765135,305.857,189,303.5,225.5
6,29149747678071,305.667,188.833,303.5,225.5
7,29149777868688,305.857,189,303.5,225.5
8,29149808578137,305.667,188.833,303.5,225.5
9,29149824998970,305.667,188.833,303.5,225.5
10,29149840945386,305.667,188.667,303.5,225.5
11,29149857254601,305.857,189,303.5,225.5
12,29149869989475,305.857,189,303.5,225.5
13,29149886771082,305.667,188.833,304,226
14,29149902845208,305.667,188.833,303.75,225
15,29149934216913,305.857,189,304,226
16,29149964135316,305.857,189,303.75,225
17,29149995701826,306.2,188.7,303.75,225
18,29150011469286,305.857,189,304,226
19,29150042022567,305.857,189,303.75,225
20,29150059631103,305.857,188.571,304,225
21,29150076991860,306.2,188.7,304,225
22,29150104521195,305.667,188.833,304,226
23,29150136583587,305.667,188.833,304,226
24,29150167687182,305.857,189,304,225
25,29150198798391,305.571,188.714,304,225
26,29150215272360,306.091,188.636,304,226
27,29150231164722,305.75,188.875,304,225
28,29150245977948,305.857,189,304,226
29,29150261298396,306.1,188.6,304,226
30,29150276453145,306.2,188.7,304,226
31,29150308836189,305.667,188.833,304,226
32,29150339240430,305.75,188.5,304,226
33,29150370272745,306.1,188.6,304,226
34,29150401937940,305.75,188.875,304,226
35,29150418077217,305.75,188.875,304,226
36,29150435334618,306.1,188.6,304,226
37,29150448992919,306.1,188.6,304,226
38,29150479565748,306.1,188.6,303.5,225.5
39,29150512022178,306.1,188.6,304,226
40,29150542211580,306.1,188.6,304,226
41,29150573414724,306.1,188.6,304,226
42,29150605368792,306.1,188.6,304,226
43,29150620494651,306.1,188.6,303.5,225.5
44,29150636582277,306.1,188.6,303.5,225.5
45,29150653114215,306.1,188.6,303.5,225.5
46,29150668729071,306.1,188.6,303.5,225.5
47,29150698006143,306.1,188.6,303.5,225.5
48,29150728992855,306.1,188.6,303.5,225.5
49,29150764991469,306.273,188.636,303.5,225.5
50,29150791757379,306.1,188.6,303.5,225.5
51,29150807984109,306.1,188.6,303.5,225.5
52,29150825271345,306.1,188.6,303.5,225.5
53,29150840875455,306.1,188.6,303.5,225.5
54,29150856006957,306.1,188.6,303.5,225.5
55,29150872033428,306.1,188.6,303.5,225.5
56,29150887241826,306.1,188.6,303.5,225.5
57,29150902816668,306.1,188.6,303.5,225.5
58,29150917942527,306.417,188.75,303.5,225.5
59,29150933782536,306.1,188.6,303.5,225.5
60,29150948416401,306.1,188.6,303.5,225.5
61,29150980217703,306.1,188.6,303.5,225.5
62,29150997865956,306.417,188.75,303.5,225.5
63,29151014116203,306.1,188.6,303.5,225.5
64,29151026750421,306.417,188.75,303.5,225.5
65,29151042744060,306.417,188.75,303.5,225.5
66,29151057726252,306.545,188.818,303.5,225.5
67,29151075683925,306,188.889,303.5,225.5
68,29151105533640,306.417,188.75,303.5,225.5
69,29151136587960,306.545,188.818,303.5,225.5
70,29151167816160,306.455,188.636,303.5,225.5
71,29151198804762,306.455,188.636,303.5,225.5
72,29151229668786,305.25,188.5,303.5,225.5
73,29151261930897,306,188.75,303.5,225.5
74,29151293482152,306,188.375,303.333,225.667
75,29151324501372,306.143,188.429,303.333,225.667
76,29151356409891,306.143,188.429,303.5,225.5
77,29151391464153,306.091,189.182,303.333,225.667
78,29151417689955,306.2,189.3,303.333,225.667
79,29151434842839,305.333,190,303.333,225.667
80,29151450676719,306.091,188.818,303.333,225.667
81,29151466676217,305.4,189,303.333,225.667
82,29151495305073,306.538,189.077,303.333,225.667
83,29151526829058,306.2,188.9,303.333,225.667
84,29151558373428,306.2,189.3,303.5,226
85,29151591770889,306.2,189.3,303.333,225.667
86,29151619587477,305.333,190,303.333,225.667
87,29151637675830,305.333,190,303.333,225.667
88,29151653369472,305.333,190,303.333,225.667
89,29151669950793,305.333,190,303.333,225.667
90,29151699420915,305.333,190,303.333,225.667
91,29151714571182,305.333,190,303.333,225.667
92,29151746088471,305.333,190,303.333,225.667
93,29151778231674,305.875,189.25,303.333,225.667
94,29151812968011,305.875,189.25,303.333,225.667
95,29151839863926,305.714,189.143,303.5,225.5
96,29151870451335,305.875,189.25,303.5,225.5
97,29151902151063,305.875,189.25,303.5,225.5
98,29151932943348,305.875,189.25,303.5,225.5
99,29151965678310,305.714,189.143,303.5,225.5
100,29151996129612,305.875,189.25,303.5,225.5
101,29152011435129,305.714,189.143,303.5,225.5
102,29152028062296,306.2,189.3,303.5,225.5
103,29152042137342,305.714,189.143,303.5,225.5
104,29152058423877,305.857,189,303.5,225.5
105,29152073458881,305.667,188.833,303.5,225.5
106,29152090109403,305.857,189,303.5,225.5
107,29152106954676,305.667,188.833,303.5,225.5
108,29152135968606,305.875,189.25,303.5,225.5
109,29152166752332,305.857,189,303.5,225.5
110,29152199129976,306.222,189.111,303.5,225.5
111,29152228937868,305.667,188.833,303.5,225.5
112,29152245595869,305.857,189,303.5,225.5
113,29152262749833,305.667,188.833,303.5,225.5
114,29152278286902,305.667,188.833,303.5,225.5
115,29152293446241,305.667,188.833,303.5,225.5
