Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-28 19:22:24
frame,cam_timestamp,green_x,green_y,red_x,red_y
0,6.3823e+08,7,495,1,486
6,8.18303e+08,31,475,1,486
7,8.48314e+08,21,483,1,486
8,8.78321e+08,29,477,1,486
9,9.08331e+08,7,497,1,486
10,9.38346e+08,7,497,1,486
11,9.68359e+08,7,497,1,486
12,9.98373e+08,7,497,1,486
13,1.02838e+09,19,485,1,486
15,1.08841e+09,7,497,1,486
17,1.14843e+09,7,497,1,486
18,1.17845e+09,63,449,1,486
19,1.20845e+09,7,497,1,486
20,1.23846e+09,7,497,1,486
21,1.26848e+09,7,497,1,486
22,1.29849e+09,7,497,1,486
23,1.3285e+09,7,497,1,486
24,1.35851e+09,7,497,1,486
25,1.38852e+09,7,497,1,486
26,1.41853e+09,7,497,1,486
28,1.47856e+09,84,424,1,486
29,1.50857e+09,37,471,1,486
30,1.53858e+09,37,471,1,486
31,1.56859e+09,63,449,1,486
32,1.59861e+09,7,497,1,486
33,1.62862e+09,7,497,1,486
34,1.65863e+09,7,497,1,486
35,1.68864e+09,7,497,1,486
36,1.71864e+09,7,497,1,486
37,1.74866e+09,7,497,1,486
38,1.77867e+09,24,461,1,486
39,1.80868e+09,7,497,1,486
40,1.83869e+09,7,497,1,486
41,1.8687e+09,435,457,1,486
42,1.89871e+09,51,461,1,486
43,1.92873e+09,63,449,1,486
44,1.95874e+09,24,461,1,486
45,1.98875e+09,63,449,1,486
46,2.01876e+09,37,471,1,486
47,2.04877e+09,21,483,1,486
48,2.07878e+09,37,471,1,486
49,2.10879e+09,21,483,1,486
50,2.1388e+09,21,483,1,486
51,2.16882e+09,21,483,1,486
53,2.22883e+09,21,483,1,486
54,2.25884e+09,21,483,1,486
55,2.28885e+09,21,483,1,486
56,2.31886e+09,21,483,1,486
57,2.34888e+09,21,483,1,486
58,2.37889e+09,21,483,1,486
59,2.4089e+09,21,483,1,486
60,2.43891e+09,21,483,1,486
61,2.46892e+09,24,461,1,486
62,2.49893e+09,72,438,1,486
63,2.52894e+09,73,437,1,486
64,2.55895e+09,85,423,1,486
65,2.58896e+09,87,421,1,486
66,2.61897e+09,39,469,1,486
67,2.64899e+09,23,481,1,486
68,2.679e+09,437,458,1,486
69,2.70901e+09,15,487,1,486
70,2.73902e+09,97,411,1,486
71,2.76903e+09,77,385,1,486
72,2.79905e+09,33,473,1,486
73,2.82906e+09,15,487,1,486
74,2.85907e+09,15,487,1,486
75,2.88908e+09,33,473,1,486
76,2.91909e+09,41,467,1,486
78,2.97912e+09,23,481,1,486
79,3.00913e+09,23,481,1,486
80,3.03914e+09,23,481,1,486
81,3.06915e+09,23,481,1,486
82,3.09916e+09,137,373,1,486
83,3.12918e+09,41,467,1,486
84,3.15919e+09,33,473,1,486
85,3.18921e+09,33,473,1,486
86,3.21922e+09,33,473,1,486
87,3.24923e+09,33,473,1,486
88,3.27924e+09,33,473,1,486
90,3.33927e+09,438,463,1,486
91,3.36928e+09,436,466,1,486
92,3.39929e+09,15,487,1,486
93,3.4293e+09,15,487,1,486
94,3.45931e+09,15,487,1,486
95,3.48932e+09,15,487,1,486
96,3.51933e+09,15,487,1,486
97,3.54934e+09,15,487,1,486
98,3.57935e+09,15,487,1,486
99,3.60936e+09,24,461,1,486
100,3.63937e+09,35,471,1,486
101,3.66938e+09,17,485,1,486
102,3.6994e+09,17,485,1,486
103,3.72941e+09,51,459,1,486
104,3.75942e+09,27,477,1,486
105,3.78943e+09,27,477,1,486
106,3.81944e+09,27,477,1,486
107,3.84945e+09,27,477,1,486
108,3.87946e+09,27,477,1,486
109,3.90948e+09,57,455,1,486
110,3.93949e+09,51,459,1,486
111,3.9695e+09,433,467,1,486
112,3.99951e+09,51,459,1,486
113,4.02952e+09,35,471,1,486
114,4.05953e+09,35,471,1,486
115,4.08954e+09,17,485,1,486
116,4.11955e+09,35,471,1,486
117,4.14956e+09,35,471,1,486
118,4.17957e+09,27,477,1,486
119,4.20958e+09,27,477,1,486
120,4.2396e+09,27,477,1,486
