Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-29 19:44:28
frame,cam_timestamp,sys_timestamp, green_x,green_y,red_x,red_y
1,6304749162453,720691579857934,303.095,210.619,319,177
2,6304769173557,720691764744328,303,210.2,0,0
3,6304789182393,720691781378391,303.042,210.417,319,177
4,6304809192984,720691797080562,303,210.417,319,177
5,6304829206248,720691812752791,303.174,210.087,0,0
6,6304849217352,720691827461760,303.045,210.5,0,0
7,6304869226836,720691842190975,303.167,210.611,0,0
8,6304889235915,720691857882595,302.95,210.2,319,177
9,6304909246749,720691874597358,303,210.333,319,177
10,6304929259662,720691890237649,302.857,210.286,319,177
11,6304949270874,720691904969716,302.789,210.053,319,177
12,6304969279521,720691921634576,303.105,210.368,319,177
13,6304989290544,720691936373487,303.167,210.611,319,177
14,6305009303349,720691952103318,302.857,210.286,319,177.5
15,6305029314264,720691968753350,303.056,210.556,319,177.5
16,6305049323721,720691984462079,303.125,210.25,319,177.5
17,6305069341062,720692000133453,303.158,210.789,319,177.5
18,6305089348413,720692014851547,303.056,210.556,319,177.5
19,6305109361137,720692030536038,302.9,210.9,319,177.5
20,6305129372268,720692045256128,303.136,210.545,319,177.5
21,6305149381914,720692061390596,303.059,210.824,319,177.5
22,6305169393072,720692077557573,302.882,210.647,319,177.5
23,6305189406012,720692092300190,302.933,210.867,319,177.5
24,6305209417467,720692108977312,303.056,211.111,319,177.5
25,6305229426573,720692124655530,302.895,210.895,319,177.5
26,6305249437650,720692139332846,302.813,210.813,319,177.5
27,6305269450617,720692155021900,302.813,210.813,319,177.5
28,6305289463665,720692170735476,302.9,211.05,319,177.5
29,6305309475120,720692186423960,302.875,211,319,177.5
30,6305329483902,720692203062015,302.765,210.941,319,177.5
31,6305349494736,720692217871359,303,210.688,319,177.5
32,6305369508108,720692233558702,302.842,210.947,319,177.5
33,6305389519698,720692250233543,302.8,211.1,319,177.5
34,6305409528291,720692263957865,302.882,210.647,319,177.5
35,6305429539449,720692280593354,302.882,211.176,319,177
36,6305449552335,720692296274708,302.778,211.111,319,177.5
37,6305469565302,720692311962621,302.867,210.6,319,177.5
38,6305489575920,720692327659659,302.8,210.85,319,177
39,6305509585053,720692342383741,302.8,210.7,319,177
40,6305529596184,720692360296164,303,210.412,319,177
41,6305549609745,720692380353252,303,210.375,319,177
42,6305569620849,720692404761266,302.944,210.333,319,177
43,6305589629631,720692420443476,303.118,210.471,319,177
44,6305609640465,720692440375095,302.857,210.286,319,177
45,6305629653189,720692460400246,302.95,210.2,319,177
46,6305649666453,720692483442643,303.053,210.368,319,177
47,6305669677260,720692500360438,303.053,210.684,319,177
48,6305689690200,720692520429788,302.75,210.2,319,177
49,6305709701331,720692546200853,302.909,210.136,0,0
50,6305729710761,720692576743164,302.81,210.048,0,0
51,6305749721892,720692608031447,303.231,210.038,0,0
52,6305769730728,720692624320756,303.231,210.038,0,0
53,6305789741616,720692640399333,302.857,210.048,0,0
54,6305809750479,720692655090908,302.864,210.182,0,0
55,6305829759261,720692671752631,303.087,210.304,0,0
56,6305849770122,720692687436552,302.9,209.95,319.5,177.5
57,6305869782819,720692702140103,303,210.043,319,178
58,6305889793977,720692720614855,303,210.182,319.5,177.5
59,6305909803623,720692740520240,303.292,210.083,319.5,177.5
60,6305929814727,720692765720135,303,210.143,319.5,177.5
61,6305949827721,720692797053757,303,209.909,319.5,177.5
62,6305969838609,720692812727127,302.8,209.95,319.5,177.5
63,6305989847472,720692826452304,302.789,210.105,319.5,177.5
64,6306009858252,720692843135130,302.9,210,319.5,177.5
65,6306029871840,720692860606414,303.15,209.7,319.5,177.5
66,6306049885050,720692889301764,302.895,209.842,319.5,177.5
67,6306069896829,720692905839445,303,210.143,320,177
68,6306089905611,720692920806195,302.769,210.769,319.5,177.5
69,6306109916472,720692940718994,302.9,210,320,177
70,6306129929817,720692968919882,302.9,210,320,177
71,6306149940570,720692999361818,302.842,209.895,319.5,177.5
72,6306169949676,720693029719633,302.947,209.684,320,177
73,6306189960537,720693045380171,302.9,210,320,177
74,6306209973423,720693062112043,302.9,210,320,177
75,6306229986525,720693077366803,302.765,209.647,320,177
76,6306249997305,720693093460494,302.9,210,320,177
77,6306270006087,720693109423298,302.882,209.588,320,177
78,6306290016921,720693124587092,302.895,209.842,320,177
79,6306310025541,720693140838760,302.833,209.722,319.5,177.5
80,6306330036699,720693160805454,302.842,209.895,319.5,177.5
81,6306350049585,720693186863672,302.778,209.944,319.5,177.5
82,6306370060743,720693201580054,302.813,209.5,319.5,177.5
83,6306390070146,720693220826442,302.824,209.824,319.5,177.5
